Game,RPW,Runs,Wickets,Runs2,RPO,Time,Winner
"Sri Lanka in Bangladesh Test Series, 2013/14",52.84,2801,53,4443,3.78,27/01/2014,Sri Lanka
"Pakistan v South Africa Test Series (in United Arab Emirates), 2010/11",51.21,2663,52,5095,3.13,12/11/2010,drawn
"India in Sri Lanka Test Series, 2010",51.17,4094,80,6881,3.56,18/07/2010,drawn
"Bangladesh in Sri Lanka Test Series, 2012/13",50.46,2624,52,4640,3.39,8/03/2013,Sri Lanka
"Bangladesh in India Test Match, 2016/17",49.46,1484,30,2540,3.5,9/02/2017,India
"Bangladesh in New Zealand Test Match, 2009/10",46.9,1501,32,2277,3.95,15/02/2010,New Zealand
"Pakistan in Bangladesh Test Series, 2015",46.39,2691,58,4333,3.72,28/04/2015,Pakistan
"India in Bangladesh Test Match, 2015",46.31,741,16,1106,4.01,10/06/2015,drawn
"The Frank Worrell Trophy (West Indies in Australia), 2015/16",45.71,2743,60,4360,3.77,10/12/2015,Australia
"West Indies in Bangladesh Test Series, 2012/13",45.63,2875,63,4727,3.64,13/11/2012,West Indies
"New Zealand in Bangladesh Test Series, 2013/14",45.62,2418,53,4489,3.23,9/10/2013,drawn
"South Africa in India Test Series, 2009/10",44.98,2339,52,4304,3.26,6/02/2010,drawn
"England in Bangladesh Test Series, 2009/10",44.43,2844,64,5035,3.38,12/03/2010,England
"England in New Zealand Test Series, 2019/20",44.25,2257,51,4730,2.86,21/11/2019,New Zealand
"Border-Gavaskar Trophy (India in Australia), 2014/15",44.13,5870,133,9477,3.71,9/12/2014,Australia
"Pakistan v Australia Test Series (in United Arab Emirates), 2014/15",43.81,2629,60,4787,3.29,22/10/2014,Pakistan
"New Zealand in Zimbabwe Test Series, 2016",43.78,2277,52,4332,3.15,28/07/2016,New Zealand
"Sri Lanka in Pakistan Test Series, 2019/20",43.63,1789,41,3037,3.53,11/12/2019,Pakistan
"Pakistan in Australia Test Series, 2019/20",43.11,2285,53,3792,3.61,21/11/2019,Australia
"Bangladesh in New Zealand Test Series, 2018/19",42.88,2230,52,3163,4.23,28/02/2019,New Zealand
"Pakistan v New Zealand Test Series (in United Arab Emirates), 2014/15",42.42,3776,89,6812,3.32,9/11/2014,drawn
"Sri Lanka in England Test Series, 2011",42.3,3300,78,5550,3.56,26/05/2011,England
"Trans-Tasman Trophy [New Zealand in Australia], 2015/16",42.2,3925,93,6074,3.87,5/11/2015,Australia
"West Indies in Sri Lanka Test Series, 2010/11",41.52,2201,53,3938,3.35,15/11/2010,drawn
"Pakistan in Australia Test Series, 2016/17",41.2,3791,92,6293,3.61,15/12/2016,Australia
"South Africa in Australia Test Series, 2012/13",41.18,3913,95,6776,3.46,9/11/2012,South Africa
"Zimbabwe in Sri Lanka Test Match, 2017",40.83,1470,36,2515,3.5,14/07/2017,Sri Lanka
"New Zealand in India Test Series, 2010/11",40.29,3506,87,6757,3.11,4/11/2010,India
"Sri Lanka in New Zealand Test Series, 2018/19",40.17,2250,56,4277,3.15,15/12/2018,New Zealand
"Bangladesh in New Zealand Test Series, 2016/17",39.96,2438,61,3879,3.77,12/01/2017,New Zealand
"Basil D'Oliveira Trophy (South Africa in England), 2012",39.61,3763,95,7167,3.15,19/07/2012,South Africa
"England in India Test Series, 2016/17",39.48,6238,158,11938,3.13,9/11/2016,India
"Trans-Tasman Trophy [Australia in New Zealand], 2015/16",39.41,2483,63,4145,3.59,12/02/2016,Australia
"Freedom Trophy (South Africa in India), 2019/20",38.87,3304,85,5691,3.48,2/10/2019,India
"New Zealand in England Test Series, 2015",38.7,3019,78,4752,3.81,21/05/2015,drawn
"Pakistan v Sri Lanka Test Series (in United Arab Emirates), 2013/14",38.68,3559,92,7420,2.87,31/12/2013,drawn
"Trans-Tasman Trophy (Australia in New Zealand), 2009/10",38.68,2437,63,4381,3.33,19/03/2010,Australia
"Bangladesh in South Africa Test Series, 2017/18",38.58,2045,53,3176,3.86,28/09/2017,South Africa
"Pataudi Trophy (India in England), 2011",38.21,4853,127,8201,3.55,21/07/2011,England
"England in New Zealand Test Series, 2012/13",38.19,3132,82,6528,2.87,6/03/2013,drawn
"The Ashes (England in Australia), 2017/18",37.93,5577,147,11310,2.95,23/11/2017,Australia
"India in Sri Lanka Test Series, 2017",37.86,3370,89,5404,3.74,26/07/2017,India
"Sri Lanka in India Test Series, 2017/18",37.81,3328,88,5891,3.38,16/11/2017,India
"Pakistan in Bangladesh Test Series, 2011/12",37.77,2153,57,4055,3.18,9/12/2011,Pakistan
"Pakistan in Sri Lanka Test Series, 2012",37.64,3275,87,6230,3.15,22/06/2012,Sri Lanka
"The Ashes (England in Australia), 2010/11",37.63,5495,146,10010,3.29,25/11/2010,England
"India in South Africa Test Series, 2013/14",37.47,2511,67,4798,3.14,18/12/2013,South Africa
"India in New Zealand Test Series, 2013/14",37.35,2652,71,4422,3.59,6/02/2014,New Zealand
"Sri Lanka in England Test Series, 2014",37.15,2824,76,5181,3.27,12/06/2014,Sri Lanka
"England in India Test Series, 2012/13",37.15,4273,115,9042,2.83,15/11/2012,England
"Sir Vivian Richards Trophy (West Indies in South Africa), 2014/15",37.01,2665,72,4706,3.39,17/12/2014,South Africa
"Border-Gavaskar Trophy (Australia in India), 2010/11",36.72,2644,72,4713,3.36,1/10/2010,India
"Pakistan v Sri Lanka Test Series (in United Arab Emirates), 2011/12",36.65,3226,88,7127,2.71,18/10/2011,Pakistan
"West Indies in India Test Series, 2011/12",36.27,3664,101,6398,3.43,6/11/2011,India
"Bangladesh in Sri Lanka Test Series, 2016/17",36,2592,72,4648,3.34,7/03/2017,drawn
"The Wisden Trophy (West Indies in England), 2012",35.8,2900,81,5350,3.25,17/05/2012,England
"Sri Lanka in New Zealand Test Series, 2014/15",35.67,2390,67,4291,3.34,26/12/2014,New Zealand
"Sir Vivian Richards Trophy (South Africa in West Indies), 2010",35.62,3064,86,6142,2.99,10/06/2010,South Africa
"Australia in South Africa Test Series, 2013/14",35.61,3597,101,6382,3.38,12/02/2014,Australia
"Pakistan v West Indies Test Series (in United Arab Emirates), 2016/17",35.53,3553,100,6845,3.11,13/10/2016,Pakistan
"Pakistan in England Test Series, 2016",35.07,4735,135,8322,3.41,14/07/2016,drawn
"West Indies in Bangladesh Test Series, 2011/12",34.91,2060,59,3847,3.21,21/10/2011,West Indies
"Sri Lanka in Zimbabwe Test Series, 2016/17",34.8,2610,75,4690,3.33,29/10/2016,Sri Lanka
"New Zealand in Zimbabwe Test Match, 2011/12",34.78,1322,38,2667,2.97,1/11/2011,New Zealand
"India in Bangladesh Test Series, 2009/10",34.69,2290,66,3577,3.84,17/01/2010,India
"Pakistan v England Test Series (in United Arab Emirates), 2015/16",34.62,3705,107,7461,2.97,13/10/2015,Pakistan
"Sri Lanka in Bangladesh Test Series, 2017/18",34.59,2214,64,3863,3.43,31/01/2018,Sri Lanka
"Basil D'Oliveira Trophy (England in South Africa), 2015/16",34.57,4391,127,8056,3.27,26/12/2015,England
"South Africa in New Zealand Test Series, 2011/12",34.47,2930,85,5515,3.18,7/03/2012,South Africa
"Bangladesh in Zimbabwe Test Match, 2011",34.05,1192,35,2261,3.16,4/08/2011,Zimbabwe
"New Zealand in West Indies Test Series, 2014",33.76,3444,102,6533,3.16,8/06/2014,New Zealand
"Bangladesh in England Test Series, 2010",33.7,2090,62,3440,3.64,27/05/2010,England
"India in West Indies Test Series, 2016",33.57,3089,92,6052,3.06,21/07/2016,India
"Pakistan in Zimbabwe Test Match, 2011",33.54,1107,33,2310,2.87,1/09/2011,Pakistan
"The Wisden Trophy (England in West Indies), 2015",33.54,3354,100,6554,3.07,13/04/2015,drawn
"Warne-Muralitharan Trophy (Sri Lanka in Australia), 2012/13",33.5,3183,95,5731,3.33,14/12/2012,Australia
"Border-Gavaskar Trophy (India in Australia), 2011/12",33.48,4219,126,7378,3.43,26/12/2011,Australia
"India in South Africa Test Series, 2010/11",33.26,3227,97,5741,3.37,16/12/2010,drawn
"Pakistan in Sri Lanka Test Series, 2014",33.26,2362,71,4527,3.13,6/08/2014,Sri Lanka
"West Indies in New Zealand Test Series, 2013/14",33.26,3160,95,5602,3.38,3/12/2013,New Zealand
"Basil D'Oliveira Trophy (England in South Africa), 2009/10",33,2079,63,3817,3.26,3/01/2010,drawn
"New Zealand in India Test Series, 2016/17",32.99,3398,103,6340,3.21,22/09/2016,India
"Border-Gavaskar Trophy (Australia in India), 2012/13",32.83,4236,129,8132,3.12,22/02/2013,India
"Pataudi Trophy (India in England), 2014",32.78,5213,159,9583,3.26,9/07/2014,England
"Bangladesh in West Indies Test Series, 2014",32.7,1995,61,4134,2.89,5/09/2014,West Indies
"Pakistan in Sri Lanka Test Series, 2015",32.68,3138,96,5850,3.21,17/06/2015,Pakistan
"Warne-Muralitharan Trophy (Australia in Sri Lanka), 2011",32.54,3027,93,6131,2.96,31/08/2011,Australia
"West Indies in India Test Series, 2018/19",32.3,1906,59,3116,3.67,4/10/2018,India
"The Ashes (Australia in England), 2013",32.13,5591,174,10599,3.16,10/07/2013,England
