Mat,Won,Tied,Draw,Runs,Wkts,Balls,Ave,RPO,Year,Column1
6,4,0,2,4684,163,11116,28.73,2.52,1946,
11,5,0,6,11532,322,27428,35.81,2.52,1947,
17,10,0,7,18859,508,42679,37.12,2.65,1948,
11,4,0,7,11831,318,25789,37.2,2.75,1949,
9,8,0,1,8352,292,21844,28.6,2.29,1950,
17,12,0,5,16012,528,40792,30.32,2.35,1951,
16,12,0,4,12640,470,32253,26.89,2.35,1952,
17,7,0,10,16827,533,44173,31.57,2.28,1953,
15,11,0,4,13300,461,33740,28.85,2.36,1954,
26,14,0,12,23098,766,60908,30.15,2.27,1955,
15,12,0,3,10896,463,31381,23.53,2.08,1956,
11,7,0,4,9895,360,27647,27.48,2.14,1957,
18,14,0,4,15812,531,40183,29.77,2.36,1958,
20,16,0,4,16769,617,41445,27.17,2.42,1959,
18,6,1,11,17019,541,41849,31.45,2.44,1960,
17,8,0,9,17996,526,43049,34.21,2.5,1961,
18,14,0,4,18435,559,43430,32.97,2.54,1962,
12,8,0,4,11465,384,27995,29.85,2.45,1963,
24,6,0,18,24656,693,61322,35.57,2.41,1964,
26,10,0,16,26952,790,62841,34.11,2.57,1965,
15,10,0,5,15525,464,35892,33.45,2.59,1966,
12,9,0,3,11588,388,26967,29.86,2.57,1967,
18,11,0,7,18766,595,45031,31.53,2.5,1968,
26,15,0,11,24110,838,59700,28.77,2.42,1969,
6,4,0,2,6853,207,15687,33.1,2.62,1970,
17,6,0,11,17387,501,42550,34.7,2.45,1971,
14,8,0,6,14367,427,34080,33.64,2.52,1972,
22,10,0,12,23521,661,53184,35.58,2.65,1973,
22,13,0,9,21890,677,48895,32.33,2.68,1974,
16,10,0,6,16930,482,34815,35.12,2.91,1975,
23,16,0,7,24289,713,50528,34.06,2.88,1976,
23,16,0,7,23243,785,49483,29.6,2.81,1977,
27,18,0,9,25472,832,58236,30.61,2.62,1978,
28,13,0,15,26659,830,59108,32.11,2.7,1979,
25,11,0,14,21677,743,45789,29.17,2.84,1980,
23,14,0,9,21608,746,47503,28.96,2.72,1981,
28,17,0,11,27935,819,55844,34.1,3,1982,
30,15,0,15,28821,840,57726,34.31,2.99,1983,
34,21,0,13,32469,999,67391,32.5,2.89,1984,
26,15,0,11,26080,747,53858,34.91,2.9,1985,
30,16,1,13,26656,835,55999,31.92,2.85,1986,
25,9,0,16,22396,684,50142,32.74,2.67,1987,
24,16,0,8,22147,747,47710,29.64,2.78,1988,
21,9,0,12,22687,574,46515,39.52,2.92,1989,
26,16,0,10,24569,767,50110,32.03,2.94,1990,
21,11,0,10,20774,617,41876,33.66,2.97,1991,
26,14,0,12,25292,801,55480,31.57,2.73,1992,
36,23,0,13,34021,1027,73818,33.12,2.76,1993,
38,26,0,12,38777,1191,81035,32.55,2.87,1994,
40,28,0,12,36398,1209,75704,30.1,2.88,1995,
28,19,0,9,27454,895,57287,30.67,2.87,1996,
44,23,0,21,42696,1314,86916,32.49,2.94,1997,
45,34,0,11,43127,1431,91618,30.13,2.82,1998,
43,29,0,14,41211,1312,86257,31.41,2.86,1999,
46,34,0,12,41158,1398,89606,29.44,2.75,2000,
55,43,0,12,55307,1644,109492,33.64,3.03,2001,
54,46,0,8,54133,1666,101854,32.49,3.18,2002,
44,32,0,12,48944,1347,91731,36.33,3.2,2003,
51,40,0,11,57064,1605,103729,35.55,3.3,2004,
49,37,0,12,52118,1554,92444,33.53,3.38,2005,
46,34,0,12,50043,1446,89764,34.6,3.34,2006,
31,22,0,9,33340,945,59604,35.28,3.35,2007,
47,36,0,11,50647,1484,93861,34.12,3.23,2008,
41,26,0,15,47381,1252,84252,37.84,3.37,2009,
43,32,0,11,47353,1298,84988,36.48,3.34,2010,
39,27,0,12,41247,1270,78604,32.47,3.14,2011,
42,32,0,10,44409,1306,85300,34,3.12,2012,
44,33,0,11,45563,1416,87183,32.17,3.13,2013,
41,33,0,8,48044,1336,87943,35.96,3.27,2014,
43,34,0,9,44830,1366,80847,32.81,3.32,2015,
47,40,0,7,49341,1474,91210,33.47,3.24,2016,
47,40,0,7,49443,1542,92453,32.06,3.2,2017,
48,43,0,5,46261,1677,89006,27.58,3.11,2018,
39,35,0,4,37615,1220,68191,30.83,3.3,2019,
22,19,0,3,20661,670,40586,30.83,3.05,2020,
44,37,0,7,41852,1454,83855,28.78,2.99,2021,
43,36,0,7,44070,1379,79859,31.95,3.31,2022,
34,28,0,6,35273,1085,60107,32.5,3.52,2023,
53,50,0,3,52801,1820,86769,29.01,3.65,2024,
25,22,0,2,25521,850,42020,30.02,3.64,2025,
